id,title,url,login,display_type,college,department,major,description,link_selector
37,경제통상대학 국제무역학과,https://itrans.ssu.ac.kr/community/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경제통상대학,국제무역학과,,,tr > td.title > a
38,경영대학 경영학부,http://biz.ssu.ac.kr/bbs/list.do?bId=BBS_03_NOTICE,0,dropdown,경영대학,경영학부,,,li > div > a
39,경영대학 회계학과,https://accounting.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,회계학과,,,tr > td.title > a
40,경영대학 벤처중소기업학과,https://ensb.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%95%8c%eb%a6%bc/%ed%95%99%eb%b6%80%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,벤처중소기업학과,,,table > tbody > tr > td.title > a
41,경영대학 금융학부,https://finance.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ed%96%89%ec%a0%95%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,금융학부,,,tr > td.title > a
42,경영대학 벤처경영학과,https://mgmt.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,벤처경영학과,,,body > div.container.ssu02_bg01 > div > section > div.sub_wrap > div.card_wrap > div > a
43,경영대학 혁신경영학과,https://innobiz.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,혁신경영학과,,,tr > td.title > a
44,경영대학 복지경영학과,https://bokjimgt.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경영대학,복지경영학과,,,tr > td.title > a
45,경영대학 회계세무학과,https://actx.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/m2sub1/,0,dropdown,경영대학,회계세무학과,,,tr > td.title > a
46,공과대학 화학공학과,http://chemeng.ssu.ac.kr/sub/sub03_01.php,0,dropdown,공과대학,화학공학과,,,table > tbody > tr > td.subject > a
47,공과대학 신소재공학과,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51,0,dropdown,공과대학,신소재공학과,,,
48,공과대학 전기공학부,http://ee.ssu.ac.kr/sub/sub05_02.php,0,dropdown,공과대학,전기공학부,,,ul > li > div.subject > a
49,공과대학 기계공학부,https://me.ssu.ac.kr/notice/notice01.php,0,dropdown,공과대학,기계공학부,,,table > tbody > tr > td.subject > a
